Brand,Model,Price,Rating,Link,Favori Number,Rush Delivery,Free Cargo,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Ekran Kartı,Ekran Boyutu,Çözünürlük,Kullanım Amacı,Cihaz Ağırlığı,Ekran Yenileme Hızı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Ram (Sistem Belleği) Tipi,Renk,Garanti Tipi,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Bağlantılar,Klavye,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,Garanti Süresi,Arttırılabilir Azami Bellek,HDMI
CASPER,"Nirvana C370.4020-4C00B Intel Celeron N4020 4GB RAM 120GB SSD Windows 11 Home 15.6"" Hd Laptop",8750.0,4.2,https://www.trendyol.com/casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-laptop-p-358003688?boutiqueId=61&merchantId=841186,60500.0,0,1,Intel Celeron,4.0,0.1171875,Windows,Intel UHD Graphics 600,"15,6 inç",1366 x 768,Ofis - İş,2 kg ve altı,60.0,Dahili,1,N4020,10. Nesil,2.0,0.48828125,Yok,TN,LPDDR4,Gri,Casper Türkiye Garantili,1.1,2.8,Bluetooth,Q Türkçe,Dahili,HD Ready (HD),1.0,8.0,Yok
LENOVO,NB V15 82YU0123TX RYZEN5-7520U 16GB 512SSD O/B 15.6 DOS,13499.0,4.5,https://www.trendyol.com/lenovo/nb-v15-82yu0123tx-ryzen5-7520u-16gb-512ssd-o-b-15-6-dos-p-816046818?boutiqueId=61&merchantId=514546,18500.0,1,1,AMD Ryzen 5,16.0,0.5,Free Dos,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,90.0,Dahili,1,7520U,5. Nesil,4.0,0.25,Yok,TN,Birleşik Bellek,Siyah,Lenovo Türkiye Garantili,1.1,2.8,Wi-Fi,F Klavye,Dahili,Full HD (FHD),2.0,32.0,Yok
Zeiron,"Zgx25 Ryzen 5 3600 32GB 3200MHz Ram 512GB SSD RX550 GDDR5 23.8"" Curved Oyuncu Masaüstü Bilgisayar",18299.0,4.6,https://www.trendyol.com/zeiron/zgx25-ryzen-5-3600-32gb-3200mhz-ram-512gb-ssd-rx550-gddr5-23-8-curved-oyuncu-masaustu-bilgisayar-p-310792132?boutiqueId=61&merchantId=127037,30300.0,1,1,AMD Ryzen 5,32.0,0.5,Free Dos,AMD Radeon RX 550,"24"" / 61 Ekran",1920 x 1080,Oyun,4 kg ve üzeri,75.0,Harici,4,1215U,12. Nesil,6.0,1.0,Yok,VA,DDR4,Siyah,Zeiron Türkiye Garantili,3.6,4.4,HDMI,RGB,DDR4,Full HD (FHD),2.0,64.0,Var
LENOVO,"IdeaPad3 Intel Core i3-1215U 8GB 256GB SSD 15.6"" FHD DOS Arctic Grey Dizüstü Bilgisayar 82RK011BTX",11005.0,3.8,https://www.trendyol.com/lenovo/ideapad3-intel-core-i3-1215u-8gb-256gb-ssd-15-6-fhd-dos-arctic-grey-dizustu-bilgisayar-82rk011btx-p-832741074?boutiqueId=61&merchantId=109354,4354.0,1,1,Intel Core i3,8.0,0.25,Free Dos,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1215U,12. Nesil,6.0,0.125,Yok,TN,DDR4,Gri,Lenovo Türkiye Garantili,4.0,4.0,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,16.0,Yok
ASUS,"Vivobook 15 Intel Core i5-1235U 8GB 512GB SSD DOS 15.6"" FHD Gümüş Dizüstü Bilgisayar F1502ZA-EJ1534",15498.0,4.5,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-8gb-512gb-ssd-dos-15-6-fhd-gumus-dizustu-bilgisayar-f1502za-ej1534-p-780222579?boutiqueId=61&merchantId=113801,7974.0,1,1,Intel Core i5,8.0,0.5,Free Dos,Intel Iris Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1235U,12. Nesil,10.0,0.5,Yok,IPS,DDR4,Gümüş,Asus Türkiye Garantili,1.3,4.4,USB - Bluetooth - HDMI,Q Türkçe,DDR5,Full HD (FHD),2.0,8.0,Yok
Zeiron,Mirage X32 Pro White Ryzen 7 5700X 32GB RAM 1TB M.2 SSD 8GB RTX4060 Sıvı Soğutmalı Oyun Bilgisayarı,33599.0,4.6,https://www.trendyol.com/zeiron/mirage-x32-pro-white-ryzen-7-5700x-32gb-ram-1tb-m-2-ssd-8gb-rtx4060-sivi-sogutmali-oyun-bilgisayari-p-847841519?boutiqueId=61&merchantId=127037,2273.0,1,1,AMD Ryzen 7,32.0,1.0,Free Dos,Nvidia GeForce RTX 4060,"15,6 inç",3840 x 2160,Oyun,4 kg ve üzeri,60.0,Harici,8,12400F,4. Nesil,8.0,1.0,Yok,VA,DDR4,Siyah,Zeiron Türkiye Garantili,3.4,4.4,Display Port,RGB,GDDR6,Ultra HD 4K (UHD),2.0,64.0,Var
LENOVO,"Ideapad AMD Ryzen 7 5700U 16GB 512GB SSD Freedos 15.6"" 82R4006FTRA38",17199.0,4.6,https://www.trendyol.com/lenovo/ideapad-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-82r4006ftra38-p-752653765?boutiqueId=61&merchantId=880551,29800.0,1,1,AMD Ryzen 7,16.0,0.5,Free Dos,AMD Radeon Graphics,"15,6 inç",1920 x 1080,Ev - Okul,2 kg ve altı,60.0,Dahili,1,5700U,5. Nesil,8.0,0.5,Yok,TN,DDR4,Gri,Lenovo Türkiye Garantili,3.7,4.3,USB - Bluetooth - HDMI,Numeric,Dahili,Full HD (FHD),2.0,16.0,Yok
LENOVO,"IdeaPad1 Intel Celeron N4020 4GB 128GB SSD Windows 11 15.6"" Cloud Grey Dizüstü Bilgisayar",8594.9,4.4,https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4020-4gb-128gb-ssd-windows-11-15-6-cloud-grey-dizustu-bilgisayar-p-811944598?boutiqueId=61&merchantId=194340,43500.0,0,1,Intel Celeron,4.0,0.125,Windows,Dahili Ekran Kartı,"15,6 inç",1366 x 768,Ev - Okul,2 - 4 kg,60.0,Dahili,1,N4020,4. Nesil,2.0,0.125,Yok,TN,DDR4,Gri,Resmi Distribütör Garantili,1.1,2.8,USB - Bluetooth - HDMI,Q Türkçe,Dahili,HD Ready (HD),2.0,4.0,Yok
Zeiron,"Ncx20 i5 12400F 32GB 512GB M.2 SSD RTX3050 24"" 165Hz Oyuncu Masaüstü Bilgisayar",27599.0,4.7,https://www.trendyol.com/zeiron/ncx20-i5-12400f-32gb-512gb-m-2-ssd-rtx3050-24-165hz-oyuncu-masaustu-bilgisayar-p-824367501?boutiqueId=61&merchantId=127037,1365.0,1,1,Intel Core i5,32.0,0.5,Free Dos,Nvidia GeForce RTX 3050,24 inç,1920 x 1080,Oyun,4 kg ve üzeri,165.0,Harici,8,12400F,12. Nesil,6.0,1.0,Yok,VA,DDR4,Siyah,Zeiron Türkiye Garantili,2.5,4.4,Display Port,RGB,GDDR6,Full HD (FHD),2.0,64.0,Var
CASPER,Excalibur G770.1245-BVJ0X-B i5-12450H 16GB RAM 500GB NVMe SSD GEN4 4GB RTX3050 DOS GAMING LAPTOP,30949.0,4.4,https://www.trendyol.com/casper/excalibur-g770-1245-bvj0x-b-i5-12450h-16gb-ram-500gb-nvme-ssd-gen4-4gb-rtx3050-dos-gaming-laptop-p-311975657?boutiqueId=61&merchantId=319737,43000.0,0,1,Intel Core i5,16.0,0.48828125,Free Dos,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,4,12450H,12. Nesil,8.0,0.48828125,Yok,IPS,DDR4,Siyah,Casper Türkiye Garantili,2.5,4.4,HDMI,Q Türkçe,GDDR6,Full HD (FHD),1.0,64.0,Yok
ACER,"Aspire 3 A315-58-34G6 İntel Core i3-1115G4 8GB RAM, 256GB SSD, 15,6"", FreeDOS, NX.ADDEY.00G",9826.0,4.5,https://www.trendyol.com/acer/aspire-3-a315-58-34g6-intel-core-i3-1115g4-8gb-ram-256gb-ssd-15-6-freedos-nx-addey-00g-p-785473408?boutiqueId=61&merchantId=395552,3421.0,1,1,Intel Core i3,8.0,0.25,Free Dos,Intel HD Graphics,"15,6 inç",1920 x 1080,Ev - Okul,2 kg ve altı,60.0,Dahili,1,1115G4,11. Nesil,2.0,0.25,Yok,IPS,DDR4,Gümüş,ACER Türkiye Garantili,4.0,4.0,USB,Q Türkçe,Dahili,Full HD (FHD),2.0,16.0,Yok
Zeiron,"Prime X90 Ryzen 5 5500 32GB 1TB M.2 SSD RTX3050 23.8"" 165Hz Oyuncu Masaüstü Bilgisayar Uyumlu",27349.0,4.8,https://www.trendyol.com/zeiron/prime-x90-ryzen-5-5500-32gb-1tb-m-2-ssd-rtx3050-23-8-165hz-oyuncu-masaustu-bilgisayar-uyumlu-p-808065258?boutiqueId=61&merchantId=127037,5763.0,1,1,AMD Ryzen 5,32.0,1.0,Free Dos,Nvidia GeForce RTX 3050,"24"" / 61 Ekran",1920 x 1080,Oyun,4 kg ve üzeri,165.0,Harici,8,12400F,12. Nesil,6.0,1.0,Yok,VA,DDR4,Siyah,Zeiron Türkiye Garantili,3.6,4.4,Wi-Fi,RGB,GDDR6,Full HD (FHD),2.0,64.0,Var
ASUS,"Vivobook Go 15 Amd Ryzen 3 7320u 8gb 256gb Ssd 15.6"" Fhd Freedos Notebook E1504fa-nj097",12299.0,4.3,https://www.trendyol.com/asus/vivobook-go-15-amd-ryzen-3-7320u-8gb-256gb-ssd-15-6-fhd-freedos-notebook-e1504fa-nj097-p-772429857?boutiqueId=61&merchantId=114271,735.0,1,1,AMD Ryzen 3,8.0,0.25,Free Dos,AMD Radeon Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,7320U,11. Nesil,4.0,0.25,Yok,LED,LPDDR5,Siyah,Asus Türkiye Garantili,1.8,3.8,Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,8.0,Yok
CASPER,Excalibur G870.1270-DFA0X-B i7-12700H 32GB RAM 1TB NVMe SSD Gen4 6GB RTX4050 DOS GAMING LAPTOP,36899.0,4.5,https://www.trendyol.com/casper/excalibur-g870-1270-dfa0x-b-i7-12700h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-dos-gaming-laptop-p-672157475?boutiqueId=61&merchantId=114258,13800.0,0,1,Intel Core i7,32.0,1.0,Free Dos,Nvidia GeForce RTX 4050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,6,12700H,12. Nesil,14.0,1.0,Yok,IPS,DDR4,Gri,Casper Türkiye Garantili,2.3,4.7,Bluetooth,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
Zeiron,FX50 i5 3470 16GB Ram 1TB HDD+256GB SSD GT730 4GB 23.8'' Oyuncu Masaüstü Bilgisayar,13749.0,4.5,https://www.trendyol.com/zeiron/fx50-i5-3470-16gb-ram-1tb-hdd-256gb-ssd-gt730-4gb-23-8-oyuncu-masaustu-bilgisayar-p-50439438?boutiqueId=61&merchantId=127037,44400.0,1,1,Intel Core i5,16.0,0.25,Free Dos,Nvidia GeForce GT 730,"24"" / 61 Ekran",1920 x 1080,Oyun,4 kg ve üzeri,75.0,Harici,4,İ5-3470,3. Nesil,4.0,1.0,Yok,VA,DDR3,Siyah,Zeiron Türkiye Garantili,3.2,4.4,HDMI,RGB,DDR3,Full HD (FHD),2.0,16.0,Var
Hometech,"Alfa 620c Intel Celeron N4020 4 Gb 128 Gb Ssd Windows 11 14.1"" Tn Taşınabilir Bilgisayar",6765.0,4.1,https://www.trendyol.com/hometech/alfa-620c-intel-celeron-n4020-4-gb-128-gb-ssd-windows-11-14-1-tn-tasinabilir-bilgisayar-p-658259965?boutiqueId=61&merchantId=668231,9201.0,1,1,Intel Celeron,4.0,0.125,Windows,Intel UHD Graphics 600,"14,1 inç",1366 x 768,Ev - Okul,2 kg ve altı,60.0,Dahili,1,N4020,4. Nesil,2.0,0.25,Yok,TN,DDR4,Gümüş,Resmi Distribütör Garantili,1.1,2.8,Bluetooth - USB,Q Türkçe,DDR,HD Ready (HD),2.0,4.0,Yok
LENOVO,IdeaPad3 Intel Core i5-12450H 8GB LPDDR5 512GB SSD 15.6'' FHD Freedos Dizüstü Bilgisayar 83ER000WTR,19799.0,4.4,https://www.trendyol.com/lenovo/ideapad3-intel-core-i5-12450h-8gb-lpddr5-512gb-ssd-15-6-fhd-freedos-dizustu-bilgisayar-83er000wtr-p-772120068?boutiqueId=61&merchantId=717238,36900.0,1,1,Intel Core i5,8.0,0.5,Free Dos,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,12450H,12. Nesil,8.0,0.5,Yok,TN,LPDDR5,Gri,Lenovo Türkiye Garantili,1.8,4.3,USB - Bluetooth - HDMI,Numeric,SD,Full HD (FHD),2.0,16.0,Yok
Zeiron,"Damage X50 Ryzen 7 5700X 32GB 1TB M.2 RTX4060Ti Sıvı Soğutmalı 27"" 240Hz Oyuncu Bilgisayarı",45499.0,4.9,https://www.trendyol.com/zeiron/damage-x50-ryzen-7-5700x-32gb-1tb-m-2-rtx4060ti-sivi-sogutmali-27-240hz-oyuncu-bilgisayari-p-859942621?boutiqueId=61&merchantId=127037,1141.0,0,1,AMD Ryzen 7,32.0,1.0,Free Dos,Nvidia GeForce RTX 4060Ti,25 + inç,3840 x 2160,Oyun,4 kg ve üzeri,240.0,Harici,8,10750H,10. Nesil,8.0,1.0,Yok,VA,DDR4,Siyah,Zeiron Türkiye Garantili,3.4,5.0,Display Port,RGB,GDDR6,Full HD (FHD),2.0,64.0,Var
LENOVO,"Ideapad 3 İntel Core i3-1215U 16GB 512GB SSD W11P 15.6"" Full Hd CSR22 ÇANTA Hediyeli",13699.0,4.5,https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-16gb-512gb-ssd-w11p-15-6-full-hd-csr22-canta-hediyeli-p-781482518?boutiqueId=61&merchantId=876380,5527.0,1,1,Intel Core i3,16.0,0.5,Windows,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1215U,12. Nesil,4.0,0.5,Yok,TN,DDR4,Metalik,Lenovo Türkiye Garantili,1.7,4.4,HDMI - USB,Q Türkçe,Dahili,Full HD (FHD),2.0,12.0,Yok
ACER,Aspire 3 A315-510P-38X0 15.6” FHD İntel İ3-N305 8 GB DDR5 RAM 256 GB SSD Freedos NX.KDHEY.003,9989.0,4.4,https://www.trendyol.com/acer/aspire-3-a315-510p-38x0-15-6-fhd-intel-i3-n305-8-gb-ddr5-ram-256-gb-ssd-freedos-nx-kdhey-003-p-734373841?boutiqueId=61&merchantId=395552,3514.0,1,1,Intel Core i3,8.0,0.25,Free Dos,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,60.0,Harici,1,N305,3. Nesil,8.0,0.25,Yok,IPS,LPDDR5,Gri,Resmi Distribütör Garantili,4.0,4.0,HDMI - USB,RGB,Dahili,HD Ready (HD),2.0,8.0,Yok
Zeiron,Mirage X32 Ryzen 7 5700X 32GB RAM 1TB M.2 Nvme SSD 8GB RTX4060 Sıvı Soğutmalı Oyuncu Bilgisayarı,33449.0,4.8,https://www.trendyol.com/zeiron/mirage-x32-ryzen-7-5700x-32gb-ram-1tb-m-2-nvme-ssd-8gb-rtx4060-sivi-sogutmali-oyuncu-bilgisayari-p-815125225?boutiqueId=61&merchantId=127037,5382.0,1,1,AMD Ryzen 7,32.0,1.0,Free Dos,Nvidia GeForce RTX 4060,"15,6 inç",3840 x 2160,Oyun,4 kg ve üzeri,60.0,Harici,8,12400F,4. Nesil,8.0,1.0,Yok,VA,DDR4,Siyah,Zeiron Türkiye Garantili,3.4,4.4,Display Port,RGB,GDDR6,Ultra HD 4K (UHD),2.0,64.0,Var
CASPER,Excalibur G870.1270-DXB0X-B Intel Core i7-12700H 32GB RAM 2TB NVMe SSD 8GB RTX4060 DOS GAMING LAPTOP,54990.0,4.4,https://www.trendyol.com/casper/excalibur-g870-1270-dxb0x-b-intel-core-i7-12700h-32gb-ram-2tb-nvme-ssd-8gb-rtx4060-dos-gaming-laptop-p-672155829?boutiqueId=61&merchantId=149208,9251.0,0,1,Intel Core i7,32.0,2.0,Free Dos,Nvidia GeForce RTX 4060,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,8,12700H,12. Nesil,14.0,2.0,Yok,IPS,DDR4,Gri,Casper Türkiye Garantili,3.6,4.7,Bluetooth,RGB Numeric,GDDR6,Full HD (FHD),2.0,64.0,Yok
CASPER,"Nirvana X600.1245-BV00X-G-F Intel Core i5-12450H 16GB RAM 500GB NVMe SSD DOS 15.6"" Laptop",16599.0,4.6,https://www.trendyol.com/casper/nirvana-x600-1245-bv00x-g-f-intel-core-i5-12450h-16gb-ram-500gb-nvme-ssd-dos-15-6-laptop-p-844552930?boutiqueId=61&merchantId=129813,1000.0,0,1,Intel Core i5,16.0,0.5,Free Dos,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,12450H,12. Nesil,8.0,0.48828125,Yok,IPS,DDR4,Gri,Casper Türkiye Garantili,3.9,4.4,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,8.0,Yok
Zeiron,"Legend X99 Ryzen 5-3600 32GB Ram 512GB NVMe M.2 SSD+2TB HDD RTX3050 8GB 27"" 165Hz Oyuncu Bilgisayarı",29849.0,4.5,https://www.trendyol.com/zeiron/legend-x99-ryzen-5-3600-32gb-ram-512gb-nvme-m-2-ssd-2tb-hdd-rtx3050-8gb-27-165hz-oyuncu-bilgisayari-p-409962395?boutiqueId=61&merchantId=127037,686.0,1,1,AMD Ryzen 5,32.0,0.5,Free Dos,Nvidia GeForce RTX 3050,25 + inç,1920 x 1080,Oyun,4 kg ve üzeri,165.0,Harici,8,4310M,4. Nesil,6.0,2.0,Yok,VA,DDR4,Siyah,Zeiron Türkiye Garantili,3.6,4.4,Display Port,RGB,GDDR6,Full HD (FHD),2.0,64.0,Var
ASUS,"Vivobook 15 Intel Core I5 1235U 24 GB 1TB SSD 15.6"" Taşınabilir Bilgisayar 15.6"" Win11 PCS",22499.0,4.5,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-24-gb-1tb-ssd-15-6-tasinabilir-bilgisayar-15-6-win11-pcs-p-790067859?boutiqueId=61&merchantId=593943,1012.0,1,1,Intel Core i5,24.0,1.0,Windows,Intel XE Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,60.0,Dahili,1,1235U,12. Nesil,10.0,0.5,Yok,TN,DDR4,Gümüş,Asus Türkiye Garantili,1.3,4.4,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,40.0,Yok
HP,Victus 15-fa0008nt 12.Nesil Core i5 12450H-RTX3050 4Gb-16Gb-512Gb-15.6inc-W11,26130.0,4.3,https://www.trendyol.com/hp/victus-15-fa0008nt-12-nesil-core-i5-12450h-rtx3050-4gb-16gb-512gb-15-6inc-w11-p-779237005?boutiqueId=61&merchantId=355581,1643.0,0,1,Intel Core i5,16.0,0.5,Windows,Nvidia GeForce RTX 3050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,4,12450H,12. Nesil,8.0,0.48828125,Yok,Mikro Kenarlı,DDR4,Mavi,Resmi Distribütör Garantili,3.3,5.0,USB,Q Türkçe,GDDR6,Full HD (FHD),2.0,32.0,Yok
Zeiron,FX50 i5 3470 16GB Ram 1TB HDD+256GB SSD GT730 4GB 23.8'' Oyuncu Masaüstü Bilgisayar,13749.0,4.5,https://www.trendyol.com/zeiron/fx50-i5-3470-16gb-ram-1tb-hdd-256gb-ssd-gt730-4gb-23-8-oyuncu-masaustu-bilgisayar-p-50439438?boutiqueId=61&merchantId=127037,44400.0,1,1,Intel Core i5,16.0,0.25,Free Dos,Nvidia GeForce GT 730,"24"" / 61 Ekran",1920 x 1080,Oyun,4 kg ve üzeri,75.0,Harici,4,İ5-3470,3. Nesil,4.0,1.0,Yok,VA,DDR3,Siyah,Zeiron Türkiye Garantili,3.2,4.4,HDMI,RGB,DDR3,Full HD (FHD),2.0,16.0,Var
LENOVO,Ryzen 5-5625U 16GB 512GB SSD 15.6 FHD FreeDos 82R400VRTX-16512,12999.0,5.0,https://www.trendyol.com/lenovo/ryzen-5-5625u-16gb-512gb-ssd-15-6-fhd-freedos-82r400vrtx-16512-p-876817485?boutiqueId=61&merchantId=316311,113.0,0,1,AMD Ryzen 5,16.0,0.5,Free Dos,AMD Radeon Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,5625U,5. Nesil,6.0,0.25,Yok,TN,DDR4,Gri,Lenovo Türkiye Garantili,2.1,4.0,HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,12.0,Yok
ACER,"Aspire 3 A315-44p Ryzen 7 5700u 16 Gb 512 Gb Ssd Freedos 15.6"" Fhd 60 Hz Taşınabilir Bilgisayar",15099.0,4.6,https://www.trendyol.com/acer/aspire-3-a315-44p-ryzen-7-5700u-16-gb-512-gb-ssd-freedos-15-6-fhd-60-hz-tasinabilir-bilgisayar-p-809411565?boutiqueId=61&merchantId=106740,1688.0,1,1,AMD Ryzen 7,16.0,0.5,Free Dos,AMD Radeon Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,5700U,5. Nesil,8.0,0.5,Yok,TN,DDR4,Gümüş,ACER Türkiye Garantili,1.8,4.3,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,16.0,Yok
Zeiron,Aurora Gs17 Ryzen 5 5500 16GB DDR4 256GB M.2 SSD+500GB HDD RX580 Oyuncu Masaüstü Bilgisayar,15849.0,4.4,https://www.trendyol.com/zeiron/aurora-gs17-ryzen-5-5500-16gb-ddr4-256gb-m-2-ssd-500gb-hdd-rx580-oyuncu-masaustu-bilgisayar-p-786089568?boutiqueId=61&merchantId=127037,230.0,1,1,AMD Ryzen 5,16.0,0.25,Free Dos,AMD Radeon RX 580,"15,6 inç",1920 x 1080,Oyun,4 kg ve üzeri,75.0,Harici,8,5500U,5. Nesil,6.0,0.48828125,Yok,IPS,DDR4,Siyah,Zeiron Türkiye Garantili,3.6,5.0,HDMI - DP,RGB,GDDR6,Full HD (FHD),2.0,64.0,Var
Dell,"Inspiron 3520 Intel Core i5 1235U 16 gb 512 GBSSD Windows 11 Home 15.6"" FHD 120Hz 3520AR17",16599.0,4.6,https://www.trendyol.com/dell/inspiron-3520-intel-core-i5-1235u-16-gb-512-gbssd-windows-11-home-15-6-fhd-120hz-3520ar17-p-791970559?boutiqueId=61&merchantId=876380,2271.0,1,1,Intel Core i5,16.0,0.5,Windows,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,120.0,Dahili,1,1235U,12. Nesil,8.0,0.25,Yok,VA,DDR4,Siyah,Dell Türkiye Garantili,1.3,4.6,Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,16.0,Yok
LENOVO,"Ideapad 1 Intel Celeron N4020 8GB 256GB SSD DOS 15.6"" HD  82V700K7TX Taşınabilir Bilgisayar",9999.0,4.5,https://www.trendyol.com/lenovo/ideapad-1-intel-celeron-n4020-8gb-256gb-ssd-dos-15-6-hd-82v700k7tx-tasinabilir-bilgisayar-p-859202373?boutiqueId=61&merchantId=514600,6796.0,0,1,Intel Celeron,8.0,0.25,Free Dos,Intel UHD Graphics 600,"15,6 inç",1366 x 768,Ofis - İş,2 - 4 kg,60.0,Dahili,1,N4020,4. Nesil,2.0,0.125,Yok,TN,DDR4,Gri,Lenovo Türkiye Garantili,1.1,2.8,USB - Bluetooth - HDMI,Q Türkçe,DDR,HD Ready (HD),2.0,8.0,Yok
Creature,CRTG102 Ryzen 5 5600 16GB DDR4 512GB NVMe RTX 4060 8GB Gaming Hazır Sistem,26321.17,5.0,https://www.trendyol.com/creature/crtg102-ryzen-5-5600-16gb-ddr4-512gb-nvme-rtx-4060-8gb-gaming-hazir-sistem-p-873270686?boutiqueId=61&merchantId=827203,800.0,1,1,AMD Ryzen 5,16.0,0.5,Free Dos,Nvidia GeForce RTX 4060,"15,6 inç",1920 x 1200,Oyun,4 kg ve üzeri,144.0,Harici,1,1255U,12. Nesil,6.0,0.48828125,Yok,IPS,DDR4,Siyah,Resmi Distribütör Garantili,1.7,4.7,USB - Bluetooth - HDMI,RGB,GDDR6,Full HD (FHD),2.0,64.0,Yok
ASUS,"Expertbook B1502 Intel Core İ5-1235U 16GB 512GB SSD 15,6"" Fhd Win 11 Pro Taşınabilir Bilgisayar",22999.0,4.8,https://www.trendyol.com/asus/expertbook-b1502-intel-core-i5-1235u-16gb-512gb-ssd-15-6-fhd-win-11-pro-tasinabilir-bilgisayar-p-852182224?boutiqueId=61&merchantId=121474,3050.0,1,1,Intel Core i5,16.0,0.5,Windows,Intel HD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1235U,12. Nesil,10.0,0.5,Yok,LED,DDR4,Lacivert,Asus Türkiye Garantili,1.3,4.4,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,64.0,Yok
LENOVO,"Ideapad 1 AMD Ryzen 7 5700U 16GB 512GB SSD Freedos 15.6"" FHD Notebook 82R400HLTR",16598.0,4.4,https://www.trendyol.com/lenovo/ideapad-1-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-fhd-notebook-82r400hltr-p-797844405?boutiqueId=61&merchantId=227581,1783.0,1,1,AMD Ryzen 7,16.0,0.5,Free Dos,AMD Radeon Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,5700U,5. Nesil,8.0,0.5,Yok,TN,DDR4,Gri,Lenovo Türkiye Garantili,1.8,4.3,Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,16.0,Yok
Zeiron,"Rcx60 | Windows 11 Pro Ryzen 5 3600 32GB 512GB SSD Rx580 8GB 23.8"" Curved Oyuncu Masaüstü Bilgisayar",20849.0,4.5,https://www.trendyol.com/zeiron/rcx60-windows-11-pro-ryzen-5-3600-32gb-512gb-ssd-rx580-8gb-23-8-curved-oyuncu-masaustu-bilgisayar-p-772551114?boutiqueId=61&merchantId=127037,3493.0,1,1,AMD Ryzen 5,32.0,0.5,Free Dos,AMD Radeon RX 580,"24"" / 61 Ekran",1920 x 1080,Oyun,4 kg ve üzeri,75.0,Harici,8,11390H,14. Nesil,6.0,1.0,Yok,VA,DDR4,Siyah,Zeiron Türkiye Garantili,3.6,5.0,Wi-Fi,RGB,GDDR5,Full HD (FHD),2.0,64.0,Var
