Brand,Model,Price,Rating,Link,Favori Number,Rush Delivery,Free Cargo,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Ekran Kartı,Ekran Boyutu,Çözünürlük,Kullanım Amacı,Cihaz Ağırlığı,Ekran Yenileme Hızı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Ram (Sistem Belleği) Tipi,Renk,Garanti Tipi,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Bağlantılar,Klavye,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,Garanti Süresi,Arttırılabilir Azami Bellek,HDMI
HP,255 G9 Ryzen 5-5625U 16GB 512 GB SSD 15.6'' Freedos 9M3H1AT,14999.0,4.6,https://www.trendyol.com/hp/255-g9-ryzen-5-5625u-16gb-512-gb-ssd-15-6-freedos-9m3h1at-p-859913594?boutiqueId=61&merchantId=557390,1234.0,1,1,AMD Ryzen 5,16.0,0.5,Free Dos,AMD Radeon Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,5625U,5. Nesil,6.0,0.5,Yok,TN,DDR4,Gri,HP Türkiye Garantili,2.3,4.3,USB - Bluetooth - HDMI,Numeric,Dahili,Full HD (FHD),2.0,64.0,Yok
Apple,"Apple M4 Max chip with 16?core CPU and 40?core GPU, 48GB, 1TB SSD - Gümüş",182549.0,0.0,https://www.trendyol.com/apple/16-inch-macbook-pro-apple-m4-max-chip-with-16-core-cpu-and-40-core-gpu-48gb-1tb-ssd-gumus-p-872448748?boutiqueId=638145&merchantId=968,0.0,0,0,M4 Max,48.0,1.0,Mac Os,Dahili Ekran Kartı,"16,2 inç",3456 x 2234,Ofis - İş,2 - 4 kg,120.0,Dahili,1,14900HX,4. Nesil,16.0,1.0,Yok,IPS,Birleşik Bellek,Gümüş,Apple Türkiye Garantili,2.2,4.6,USB-C,RGB,Dahili,Retina,2.0,64.0,Yok
LENOVO,"Ideapad 3 15IAU7 I3-1215U 20GB 512GB SSD 15.6"" FHD Freedos Taşınabilir Bilgisayar 82RK018HTXN3",12499.0,5.0,https://www.trendyol.com/lenovo/ideapad-3-15iau7-i3-1215u-20gb-512gb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-82rk018htxn3-p-863375297?boutiqueId=61&merchantId=104683,0.0,1,1,Intel Core i3,20.0,0.5,Free Dos,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1215U,12. Nesil,6.0,0.5,Yok,TN,DDR4,Gri,Lenovo Türkiye Garantili,1.2,4.4,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),2.0,4.0,Yok
CASPER,Excalibur G870.1245-BVG0X-B i5-12450H 16GB RAM 500GB NVMe SSD GEN4 4GB RTX2050 DOS GAMING LAPTOP,26359.99,4.6,https://www.trendyol.com/casper/excalibur-g870-1245-bvg0x-b-i5-12450h-16gb-ram-500gb-nvme-ssd-gen4-4gb-rtx2050-dos-gaming-laptop-p-746289856?boutiqueId=61&merchantId=133925,2675.0,1,1,Intel Core i5,16.0,0.48828125,Free Dos,Nvidia GeForce RTX 2050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,4,12450H,12. Nesil,8.0,0.48828125,Yok,IPS,DDR4,Gri,Casper Türkiye Garantili,1.7,4.7,USB - Bluetooth - HDMI,RGB,GDDR6,Full HD (FHD),2.0,64.0,Yok
CASPER,Nirvana X600.1155-8V00X-G-F Intel Core i5-1155G7 8 GB RAM 500GB NVME SSD GEN4 Freedos,15499.0,4.2,https://www.trendyol.com/casper/nirvana-x600-1155-8v00x-g-f-intel-core-i5-1155g7-8-gb-ram-500gb-nvme-ssd-gen4-freedos-p-761308480?boutiqueId=61&merchantId=534526,2128.0,1,1,Intel Core i5,8.0,0.48828125,Free Dos,Intel XE Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60.0,Dahili,1,1155G7,11. Nesil,4.0,0.5,Yok,IPS,DDR4,Gri,Casper Türkiye Garantili,3.9,4.4,USB - Bluetooth - HDMI,Q Türkçe,Dahili,Full HD (FHD),1.0,8.0,Yok
Huawei,MateBook D16 8GB RAM i5 -12450h Laptop 512GB Intel Core 12th Gen,26949.0,4.4,https://www.trendyol.com/huawei/matebook-d16-8gb-ram-i5-12450h-laptop-512gb-intel-core-12th-gen-p-331538976?boutiqueId=61&merchantId=921856,2722.0,1,1,Intel Core i5,8.0,0.5,Windows,Dahili Ekran Kartı,16 inç,1920 x 1080,Ev - Okul,2 kg ve altı,60.0,Dahili,1,13420H,13. Nesil,8.0,0.5,Yok,IPS,DDR4,Çok Renkli,Huawei Türkiye Garantili,2.5,4.6,Bluetooth - USB,Q Türkçe,Dahili,Full HD (FHD),2.0,8.0,Yok
ACER,"13420h 16gb 512gb Ssd Rtx 2050-4gb 15.6"" Fhd 144hz W11 Home Nh.qndey.002-01",27799.0,0.0,https://www.trendyol.com/acer/nitro-v15-intel-i5-13420h-16gb-512gb-ssd-rtx-2050-4gb-15-6-fhd-144hz-w11-home-nh-qndey-002-01-p-873740346?boutiqueId=61&merchantId=106198,0.0,1,1,Intel Core i5,16.0,0.5,Windows,Nvidia GeForce RTX 2050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,4,13420H,13. Nesil,8.0,0.5,Yok,IPS,DDR5,Gri,ACER Türkiye Garantili,1.7,4.4,USB - Bluetooth - HDMI,Q Türkçe,GDDR6,Full HD (FHD),2.0,16.0,Yok
LENOVO,"Ideapad1 Intel Celeron-N4120 4GB 128GB EMMC DOS 15.6"" Cloud Grey Laptop (Lenovo Türkiye Garantili)",11500.0,4.2,https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4120-4gb-128gb-emmc-dos-15-6-cloud-grey-laptop-lenovo-turkiye-garantili-p-652489295?boutiqueId=61&merchantId=856875,42500.0,1,1,Intel Celeron,4.0,0.0,Free Dos,Dahili Ekran Kartı,"15,6 inç",1366 x 768,Ev - Okul,2 kg ve altı,60.0,Dahili,1,N4120,4. Nesil,4.0,0.25,Yok,TN,DDR4,Gri,Lenovo Türkiye Garantili,1.3,3.8,USB - Bluetooth - HDMI,Q Türkçe,Dahili,HD Ready (HD),2.0,16.0,Yok
ACER,AN515-58 NH.QMZEY.005 i5-12450H 8GB DDR5 256GB SSD RTX2050-4GB 15.6'' 144Hz W11H.,23499.0,4.2,https://www.trendyol.com/acer/an515-58-nh-qmzey-005-i5-12450h-8gb-ddr5-256gb-ssd-rtx2050-4gb-15-6-144hz-w11h-p-776123333?boutiqueId=61&merchantId=749763,691.0,0,1,Intel Core i5,8.0,0.25,Windows,Nvidia GeForce RTX 2050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144.0,Harici,4,12450H,12. Nesil,8.0,0.5,Yok,TN,DDR5,SİYAH,ACER Türkiye Garantili,3.3,4.4,HDMI - USB,RGB,GDDR6,Full HD (FHD),2.0,16.0,Yok
LENOVO,"E16 Thınkpad 21jt0017tx Ryzen7-7730u 16gb 512ssd 16"" Dos Notebook",27799.0,5.0,https://www.trendyol.com/lenovo/e16-thinkpad-21jt0017tx-ryzen7-7730u-16gb-512ssd-16-dos-notebook-p-833486037?boutiqueId=61&merchantId=514546,200.0,1,1,AMD Ryzen 7,16.0,0.5,Free Dos,AMD Radeon R7,16 inç,1920 x 1200,Ofis - İş,2 kg ve altı,60.0,Dahili,1,7730U,7. Nesil,16.0,0.5,Yok,IPS,DDR4,Siyah,Resmi Distribütör Garantili,3.3,4.5,HDMI,Q Türkçe,DDR4,Full HD (FHD),2.0,32.0,Yok
