Brand,Model,Price,Rating,Link,Favori Number,Rush Delivery,Free Cargo,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Ekran Kartı,Ekran Boyutu,Çözünürlük,Kullanım Amacı,Cihaz Ağırlığı,Ekran Yenileme Hızı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Ram (Sistem Belleği) Tipi,Renk,Garanti Tipi,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Optik Sürücü Tipi,Bağlantılar,Klavye,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,Garanti Süresi,Arttırılabilir Azami Bellek,Menşei,Kapasite,İşlemci Frekansı,Power Supply,HDMI,Şarjlı Kullanım Süresi,Soket Tipi,SSD Teknolojisi,Beden,Okula Dönüş,Ekran Kartı Gücü,Görüntü Kalitesi,Ekran Özelliği
Dell,"64GB 2TB SSD 15.6"" FHD 120Hz Freedos Laptop N1601PVNB3530U 007",31.699 TL,0,https://www.trendyol.com/dell/vostro-3530-i7-1355u-64gb-2tb-ssd-15-6-fhd-120hz-freedos-laptop-n1601pvnb3530u-007-p-811136761?boutiqueId=61&merchantId=109239,0,0,1,Intel Core i7,64 GB,2 TB,Linux,Dahili Ekran Kartı,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,Belirtilmemiş,Dahili,Paylaşımlı,1355U,13. Nesil,Belirtilmemiş,HDD Yok,Yok,,DDR4,Siyah,Resmi Distribütör Garantili,,,,HDMI,Q Türkçe,Dahili,Full HD (FHD),2 Yıl,,TR,,,,,,,,,,,,
Dell,"I35303401U i5-1334U 8Gb 512Gb Ssd 15.6"" 120Hz FullHD Ubuntu Dizüstü Bilgisayar",18.999 TL,0,https://www.trendyol.com/dell/inspiron-15-3530-i35303401u-i5-1334u-8gb-512gb-ssd-15-6-120hz-fullhd-ubuntu-dizustu-bilgisayar-p-886669540?boutiqueId=61&merchantId=160823,0,1,1,Intel Core i5,8 GB,512 GB,Free Dos,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,120 Hz,Dahili,Paylaşımlı,1334u,13. Nesil,4,HDD Yok,Yok,,DDR4,Siyah,Dell Türkiye Garantili,3,4.6,,Wi-Fi,Q Türkçe,Dahili,Full HD (FHD),2 Yıl,,,,,,,,,,,,,,
HP,"Ryzen5 7520U 8GB 512SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar-CNT002",13.699 TL,0,https://www.trendyol.com/hp/15-fc0001nt-7p6k2ea01-ryzen5-7520u-8gb-512ssd-15-6-fhd-freedos-dizustu-bilgisayar-cnt002-p-862914745?boutiqueId=61&merchantId=593943,0,1,1,AMD Ryzen 5,8 GB,512 GB,Free Dos,AMD Radeon Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 - 4 kg,90 Hz,Dahili,Paylaşımlı,7520U,5. Nesil,4,HDD Yok,Yok,,LPDDR5,Siyah,HP Türkiye Garantili,,4.3,,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),DDR5,Full HD (FHD),2 Yıl,8 GB,,,,,,,,,,,,,
ASUS,"G814jzr-n6089a12 İ9-14900HX 64gb 1tbssd Rtx4080 18"" Qhd+ W11p Dizüstü Bilgisayar",154.999 TL,0,https://www.trendyol.com/asus/rog-strix-g18-g814jzr-n6089a12-i9-14900hx-64gb-1tbssd-rtx4080-18-qhd-w11p-dizustu-bilgisayar-p-885177181?boutiqueId=61&merchantId=106664,0,1,1,Intel Core i9,64 GB,1 TB,Windows,Nvidia GeForce RTX 4080,18 inç,2560 x 1600,Oyun,2 - 4 kg,240 Hz,Harici,12 GB,14900HX,14. Nesil,24,HDD Yok,Yok,IPS,DDR5,Gri,Resmi Distribütör Garantili,1.6,5.0,,USB - Bluetooth - HDMI,Q Türkçe + Numerik (RGB Aydınlatmalı),GDDR6,WQXGA,2 Yıl,,,,,,,,,,,,,,
LENOVO,"i3-1215U 4GB 512GB SSD 15.6"" FHD Freedos Taşınabilir Dizüstü Bilgisayar 82RK018HTX",10.999 TL,0,https://www.trendyol.com/lenovo/ideapad-3-15iau7-i3-1215u-4gb-512gb-ssd-15-6-fhd-freedos-tasinabilir-dizustu-bilgisayar-82rk018htx-p-856328040?boutiqueId=61&merchantId=104683,0,1,1,Intel Core i3,4 GB,512 GB,Free Dos,Intel UHD Graphics,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60 Hz,Dahili,Paylaşımlı,1215U,12. Nesil,6,HDD Yok,Yok,TN,DDR4,Gri,Lenovo Türkiye Garantili,1.2,4.4,Yok,Bluetooth,Q Türkçe,DDR4,Full HD (FHD),2 Yıl,4 GB,,,,,,,,,,,,,
ACER,"NH.QMZEY.005A5 i5-12450H 16GB 1TBSSD RTX2050 15.6"" FullHD W11H Taşınabilir Bil",30.949 TL,0,https://www.trendyol.com/acer/nitro-5-an515-58-nh-qmzey-005a5-i5-12450h-16gb-1tbssd-rtx2050-15-6-fullhd-w11h-tasinabilir-bil-p-848792646?boutiqueId=61&merchantId=106664,0,1,1,Intel Core i5,16 GB,1 TB,Windows,Nvidia GeForce RTX 2050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144 Hz,Harici,4 GB ve altı,12450H,12. Nesil,8,HDD Yok,Yok,IPS,DDR5,Siyah,Resmi Distribütör Garantili,,,,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmalı),GDDR6,Full HD (FHD),2 Yıl,64 GB,,,,,,,,,,,,,
HP,"Victus 16-r1001nt Intel Core I7 14700hx 16 Gb 1 Tb Ssd Rtx4060-8gb Freedos 16.1"" Fhd 144 Hz Taşın",52.499 TL,1.0,https://www.trendyol.com/hp/victus-16-r1001nt-intel-core-i7-14700hx-16-gb-1-tb-ssd-rtx4060-8gb-freedos-16-1-fhd-144-hz-tasin-p-788463911?boutiqueId=61&merchantId=106740,297 kişi,1,1,Intel Core i7,16 GB,1 TB,Free Dos,Nvidia GeForce RTX 4060,"16,1 inç",1920 x 1080,Oyun,2 - 4 kg,144 Hz,Harici,8 GB,13700HX,Belirtilmemiş,16,HDD Yok,Yok,IPS,DDR5,Mavi,HP Türkiye Garantili,2.1,+5,,USB - Bluetooth - HDMI,Q Türkçe,GDDR6,Full HD (FHD),2 Yıl,16 GB,,,,,,,,,,,,,
CASPER,Core i5 12450H-RTX2050 4Gb-8Gb-500Gb Ssd-15.6inc-W11,29.999 TL,0,https://www.trendyol.com/casper/excalibur-12-nesil-core-i5-12450h-rtx2050-4gb-8gb-500gb-ssd-15-6inc-w11-p-877716762?boutiqueId=61&merchantId=624588,0,0,1,Intel Core i5,8 GB,1 TB,Windows,Nvidia GeForce RTX 2050,"15,6 inç",1920 x 1080,Oyun,2 - 4 kg,144 Hz,Harici,4 GB ve altı,12450H,12. Nesil,8,500 GB,Yok,IPS,DDR4,METALİKGRİ,Resmi Distribütör Garantili,,,,USB,Q Türkçe,GDDR6,Full HD (FHD),2 Yıl,,,,,,,,,,,,,,
MONSTER,"Tulpar T7 V20.6 Intel Core i7 13700H 16 GB RAM 500 GB SSD 8 GB RTX 4060 FreeDos 17,3"" FHD 144 Hz",53.299 TL,4.0,https://www.trendyol.com/monster/tulpar-t7-v20-6-intel-core-i7-13700h-16-gb-ram-500-gb-ssd-8-gb-rtx-4060-freedos-17-3-fhd-144-hz-p-737007150?boutiqueId=61&merchantId=105286,191 kişi,0,1,Intel Core i7,16 GB,500 GB,Free Dos,Nvidia GeForce RTX 4060,"17,3 inç",1920 x 1080,Oyun,2 - 4 kg,144 Hz,Harici,8 GB,13700H,13. Nesil,14,HDD Yok,Yok,IPS,DDR4,Siyah,Monster Türkiye Garantili,2.4,5.0,,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmalı),GDDR6,Full HD (FHD),2 Yıl,64 GB,,,,,,3 Saat ve Altı,,,,,115W,,
RAZER,I9-13950hx 32gb 1tb Ssd Rtx4070 (140w) 8gb Windows 11 Home 16'' Uhd+,109.900 TL,0,https://www.trendyol.com/razer/blade-16-intel-core-i9-13950hx-32gb-1tb-ssd-rtx4070-140w-8gb-windows-11-home-16-uhd-p-808160553?boutiqueId=61&merchantId=706430,0,1,1,Intel Core i9,32 GB,1 TB,Windows,Nvidia GeForce RTX 4070,16 inç,3840 x 2400,Oyun,2 - 4 kg,240 Hz,Dahili,8 GB,13950HX,13. Nesil,24,HDD Yok,Yok,Yok,DDR5,Siyah,Resmi Distribütör Garantili,,,,USB - Bluetooth - HDMI,Q İngilizce,GDDR6,Ultra HD 4K (UHD),2 Yıl,64 GB,,,,,,6 Saat ve Üstü,,,,,140W,,
